level_0,level_1
Appliances,Washers & Dryers
Appliances,Refrigerators
Appliances,Vacuum Cleaners
Appliances,Dishwashers
Appliances,Blenders & Juicers
Appliances,Microwaves
Appliances,Air Conditioners
Appliances,Toasters & Ovens
Appliances,Slow Cookers
Appliances,Coffee Makers
Baby,Car Seats
Baby,Strollers
Electronics,Laptops
Electronics,Desktops
Electronics,Cell Phones
Electronics,Tablets
Electronics,E-Readers
Electronics,Headphones
Electronics,Speakers
Electronics,TVs
Electronics,Monitors
Electronics,Projectors
Electronics,Printers & Scanners
Electronics,Cameras & Lenses
Electronics,GPS & Navigation
Electronics,Networking
Entertainment,Movies
Entertainment,TV Shows
Entertainment,Video Games
Furnishings & Decor,Bedding
Garden & Lawn,Lawn Mowers
Garden & Lawn,Grills
Sporting Goods,Bicycles
Bags & Travel,Luggage
Bags & Travel,Briefcases
Bags & Travel,Backpacks
Bags & Travel,Duffel Bags
Bags & Travel,Messenger Bags
