level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,NODE_ID,High_level_category
Clothing,,,,,,,,1036682,Apparel
Clothing,Accessories,,,,,,,1036700,Apparel
Clothing,Accessories,Belts,,,,,,1234356011,Apparel
Clothing,Accessories,Cold Weather Accessories,,,,,,393526011,Apparel
Clothing,Accessories,Cold Weather Accessories,Arm Warmers,,,,,1264921011,Apparel
Clothing,Accessories,Cold Weather Accessories,Ear Muffs,,,,,393527011,Apparel
Clothing,Accessories,Cold Weather Accessories,Fingerless Gloves,,,,,1264922011,Apparel
Clothing,Accessories,Cold Weather Accessories,Gloves,,,,,393529011,Apparel
Clothing,Accessories,Cold Weather Accessories,Hats,,,,,393531011,Apparel
Clothing,Accessories,Cold Weather Accessories,Mittens & Hand Muffs,,,,,393530011,Apparel
Clothing,Accessories,Cold Weather Accessories,Neck Warmers,,,,,393532011,Apparel
Clothing,Accessories,Cold Weather Accessories,Scarves,,,,,393533011,Apparel
Clothing,Accessories,Cold Weather Accessories,Sets,,,,,1264923011,Apparel
Clothing,Accessories,Diaper Bags,,,,,,166767011,Apparel
Clothing,Accessories,Eyewear & Accessories,,,,,,15743621,Apparel
Clothing,Accessories,Eyewear & Accessories,Cases,,,,,1046314,Apparel
Clothing,Accessories,Eyewear & Accessories,Chains & Lanyards,,,,,688766011,Apparel
Clothing,Accessories,Eyewear & Accessories,Prescription Eyewear,,,,,13611511,Apparel
Clothing,Accessories,Eyewear & Accessories,Sunglasses,,,,,1046310,Apparel
Clothing,Accessories,Gloves,,,,,,1046284,Apparel
Clothing,Accessories,Handbags,,,,,,15743631,Apparel
Clothing,Accessories,Handbags,Baguettes,,,,,15743641,Apparel
Clothing,Accessories,Handbags,Bowling,,,,,15743651,Apparel
Clothing,Accessories,Handbags,Day Clutches,,,,,15743661,Apparel
Clothing,Accessories,Handbags,Evening Bags,,,,,15743671,Apparel
Clothing,Accessories,Handbags,Hobos,,,,,15743701,Apparel
Clothing,Accessories,Handbags,Totes,,,,,15743741,Apparel
Clothing,Accessories,Handbags,Wristlets,,,,,673131011,Apparel
Clothing,Accessories,Handkerchiefs,,,,,,1046464,Apparel
Clothing,Accessories,Hats,,,,,,1046286,Apparel
Clothing,Accessories,Hats,Baseball Caps,,,,,1266091011,Apparel
Clothing,Accessories,Hats,Berets,,,,,1267357011,Apparel
Clothing,Accessories,Hats,Bowlers,,,,,2206544011,Apparel
Clothing,Accessories,Hats,Cowboy Hats,,,,,1271802011,Apparel
Clothing,Accessories,Hats,Derby Hats,,,,,2241309011,Apparel
Clothing,Accessories,Hats,Fedoras,,,,,1266779011,Apparel
Clothing,Accessories,Hats,Knit Caps & Beanies,,,,,1046302,Apparel
Clothing,Accessories,Hats,Newsboy Caps,,,,,1268065011,Apparel
Clothing,Accessories,Hats,Straw Hats,,,,,2206545011,Apparel
Clothing,Accessories,Hats,Sun Hats,,,,,1266777011,Apparel
Clothing,Accessories,Hats,Visors,,,,,3058671,Apparel
Clothing,Accessories,Laptop Bags & Cases,,,,,,172470,Apparel
Clothing,Accessories,Laptop Bags & Cases,Checkpoint-friendly Laptop Cases,,,,,1250147011,Apparel
Clothing,Accessories,Laptop Bags & Cases,Hard Drive Cases,,,,,1272251011,Apparel
Clothing,Accessories,Laptop Bags & Cases,Laptop Backpacks,,,,,335604011,Apparel
Clothing,Accessories,Laptop Bags & Cases,Laptop Messenger Bags,,,,,335606011,Apparel
Clothing,Accessories,Laptop Bags & Cases,Laptop Sleeves & Slipcases,,,,,335609011,Apparel
Clothing,Accessories,Laptop Bags & Cases,Netbook Cases,,,,,1254550011,Apparel
Clothing,Accessories,Laptop Bags & Cases,Projector Cases,,,,,1205270,Apparel
Clothing,Accessories,Laptop Bags & Cases,Rolling & Wheeled Laptop Cases,,,,,1205272,Apparel
Clothing,Accessories,Laptop Bags & Cases,Women's Laptop Bags,,,,,335610011,Apparel
Clothing,Accessories,"Luggage, Bags & Travel",,,,,,15743161,Apparel
Clothing,Accessories,"Luggage, Bags & Travel",Bags & Backpacks,,,,,15743171,Apparel
Clothing,Accessories,"Luggage, Bags & Travel",Bags & Backpacks,Backpacks,,,,360832011,Apparel
Clothing,Accessories,"Luggage, Bags & Travel",Bags & Backpacks,Duffle Bags,,,,15743211,Apparel
Clothing,Accessories,"Luggage, Bags & Travel",Bags & Backpacks,Gym Bags,,,,15743181,Apparel
Clothing,Accessories,"Luggage, Bags & Travel",Bags & Backpacks,Messenger Bags,,,,15743231,Apparel
Clothing,Accessories,"Luggage, Bags & Travel",Briefcases,,,,,2204831011,Apparel
